NODE_1773_length_12610_cov_14.7146	CRISPR	1334	2293	DEDDh	cd06127	Type-I	8.1e-14
NODE_299_length_49057_cov_9.08475	CRISPR	17904	18209	Csa3	COG0640	Type-I-A	4.4e-16
NODE_310_length_47831_cov_10.7523	CRISPR	21255	25745	DEDDh	cd06127	Type-I	3.8e-35
NODE_325_length_45756_cov_7.11599	CRISPR	17971	18243	Csa3	COG0640	Type-I-A	8.2e-08
NODE_2676_length_8889_cov_6.11014	CRISPR	1283	5401	Cas9	mkCas0193	Type-II-A,II-B,II-C	5e-198
NODE_2676_length_8889_cov_6.11014	CRISPR	5415	6290	Cas1	cd09720	Type-II-A,II-B,II-C	1.4e-86
NODE_2676_length_8889_cov_6.11014	CRISPR	6304	6600	Cas2	mkCas0206	Type-I,II,III	1.7e-32
NODE_2676_length_8889_cov_6.11014	CRISPR	6597	7274	Csn2	cd09644	Type-II-A	1.1e-46
NODE_337_length_44019_cov_10.1351	CRISPR	326	2683	DinG	COG1199	Type-IV	1.1e-72
NODE_3648_length_6952_cov_7.50065	CRISPR	4588	6612	Cas3	mkCas0139	Type-I	4.6e-08
NODE_4668_length_5702_cov_12.4613	CRISPR	340	1548	PD-DExK	COG4804	Type-I,III	5.7e-40
NODE_5028_length_5340_cov_8.21873	CRISPR	2770	3045	RT	pfam00078	Type-I,III	1.2e-12
NODE_441_length_37490_cov_11.1867	CRISPR	2	1042	RT	pfam00078	Type-I,III	5e-16
NODE_441_length_37490_cov_11.1867	CRISPR	5569	6516	Cas3HD	cd09641	Type-I	5.6e-06
NODE_123_length_81049_cov_10.801	CRISPR	65604	66527	Csa3	COG0640	Type-I-A	7.7e-07
NODE_7073_length_4030_cov_5.6005	CRISPR	2	160	PD-DExK	COG4804	Type-I,III	5.4e-08
NODE_7073_length_4030_cov_5.6005	CRISPR	3605	3943	PD-DExK	COG4804	Type-I,III	3.6e-07
NODE_7552_length_3829_cov_11.4221	CRISPR	3451	3828	WYL	pfam13280	Type-I,III	9.3e-17
NODE_8233_length_3569_cov_6.8395	CRISPR	1049	1408	Csa3	COG0640	Type-I-A	1.1e-20
NODE_9273_length_3218_cov_9.48909	CRISPR	2037	2945	WYL	COG2378	Type-I,III	9.3e-68
NODE_11454_length_2677_cov_8.05988	CRISPR	172	1968	RT	pfam00078	Type-I,III	6.5e-58
NODE_148_length_74458_cov_8.20144	CRISPR	27279	27641	Csa3	COG0640	Type-I-A	3.2e-20
NODE_717_length_25927_cov_10.8911	CRISPR	21356	22120	WYL	COG2378	Type-I,III	2.6e-07
NODE_761_length_24909_cov_9.80237	CRISPR	22758	23117	WYL	pfam13280	Type-I,III	1.5e-16
NODE_919_length_21425_cov_13.0109	CRISPR	209	778	WYL	COG2378	Type-I,III	1.3e-08
NODE_1078_length_18534_cov_9.17663	CRISPR	1753	2043	Cas2	cd09725	Type-I,II,III,V	3e-25
NODE_1078_length_18534_cov_9.17663	CRISPR	2052	3062	Cas1	cd09721	Type-I-C	3.9e-129
NODE_1078_length_18534_cov_9.17663	CRISPR	3080	3745	Cas4	pfam01930	Type-I	8.7e-35
NODE_1078_length_18534_cov_9.17663	CRISPR	3748	4596	Cas7	COG3649	Type-I-C	5.3e-88
NODE_1078_length_18534_cov_9.17663	CRISPR	4600	6567	Cas8c	pfam09709	Type-I-C	6.2e-114
NODE_1078_length_18534_cov_9.17663	CRISPR	6564	7316	Cas5	cd09752	Type-I-C	1.4e-54
NODE_1078_length_18534_cov_9.17663	CRISPR	7316	9775	Cas3HD	cd09641	Type-I	1.6e-15
NODE_1301_length_15944_cov_10.8641	CRISPR	7314	8348	RT	pfam00078	Type-I,III	6.4e-40
NODE_1369_length_15230_cov_8.66109	CRISPR	2283	3221	Csa3	COG0640	Type-I-A	2.5e-09
NODE_1531_length_14089_cov_8.26422	CRISPR	3355	3996	WYL	pfam13280	Type-I,III	4e-06
